X,Y,OBJECTID,BUS_TYPE,BUS_NAME,BUS_ADDRESS,ST_NAME,NBRHD,SUBREGION,MATCH_ADDR,BUS_URL,LON,LAT,GLOBALID
618670.295642342,686536.547426276,1,Shopping,Another Man's Treasure,195 Montgomery St,Montgomery,Jersey City,Hudson,"195 Montgomery Street, Jersey City, NJ, 07302",www.AMTvintage.com,-74.04345477,40.71736298,7bad98a1-6849-493d-94d0-dad9e1eb406c
618526.754918925,686538.288892604,2,Shopping,CoolVines,276 Grove St,Grove,Jersey City,Hudson,"276 Grove Street, Jersey City, NJ, 07302",https://powerhouse.coolvines.com/,-74.04398324,40.7173521,8b7db598-d896-4a8a-b16e-4c753daf8e34
619614.841981594,687827.877192691,3,Attraction,Departed Soles Brewing,150 Bay St,Bay,Jersey City,Hudson,"150 Bay Street, Jersey City, NJ, 07302",http://departedsoles.com/,-74.039922,40.721031,0b184dcd-f756-4576-85ce-d096db641b05
621150.187664177,687598.960983858,4,Food,DOMODOMO,200 Greene St,Greene,Jersey City,Hudson,"200 Greene Street, Jersey City, NJ, 07302",https://www.domodomojc.com/,-74.03444234,40.72017743,12b975c9-4624-4775-b4aa-e8534366a56c
618779.236697424,687611.163715355,5,Food,Downtown Yogurt,126 Newark Ave,Newark,Jersey City,Hudson,"126 Newark Avenue, Jersey City, NJ, 07302",https://downtownyogurt.com,-74.043045,40.720248,6b1f9559-3e28-4449-844e-fa6ec33b8382
618887.433331426,686232.122182108,6,Food,Edward's Steakhouse,239 Marin Blvd,Marin,Jersey City,Hudson,"239 Marin Boulevard, Jersey City, NJ, 07302",www.edwardssteakhouse.com,-74.04270379,40.71629675,0ab023b0-1d3f-430c-96c6-a8162c31dad2
618094.62126876,687099.403912105,7,Food,Franklin Social,292 Barrow St,Barrow,Jersey City,Hudson,"292 Barrow Street, Jersey City, NJ, 07302",https://franklinsocial.com/,-74.0455245,40.718853,47eb026a-0dac-4e05-a832-9d69abd11b2e
618626.473551508,687725.126085855,8,Food,Grace O'Malleys,140 Newark Ave,Newark,Jersey City,Hudson,"140 Newark Avenue, Jersey City, NJ, 07302",https://www.graceomalleys-jc.com/,-74.043594,40.720563,5e3b79be-8443-4d66-9bf7-7247ab60b298
618623.080513675,686547.923059694,9,Shopping,Hazel Baby & Kids,199 Montgomery St,Montgomery,Jersey City,Hudson,"199 Montgomery Street, Jersey City, NJ, 07302",https://www.hazelbaby.com/,-74.04362319,40.71737951,d3f58306-b249-4414-83aa-88c1ad853278
620633.051231258,685896.250478521,10,Food,Honshu,95 Greene St,Greene,Jersey City,Hudson,"95 Greene Street, Jersey City, NJ, 07302",http://www.honshulounge.com,-74.0363895,40.715514,ea8ccf71-204a-47fe-9c84-ac3f18bac4f3
618515.716227092,690317.841044776,11,Shopping,Hound About Town,17 McWilliams Pl,McWilliams,Jersey City,Hudson,"McWilliams Place, Jersey City, NJ, 07302",https://www.houndabouttownjc.com/,-74.04399773,40.72768987,f558993a-ae1f-477e-97fe-65d76488946a
618414.408358842,686679.923451856,12,Shopping,Hound About Town,218 Montgomery St,Montgomery,Jersey City,Hudson,"218 Montgomery Street, Jersey City, NJ, 07302",https://www.houndabouttownjc.com/,-74.04435062,40.71770729,617d6102-d0ec-4490-beac-938b69c0f6ad
621884.943740591,687860.313151442,13,Food,Hudson & Co,3 2nd St,2nd,Jersey City,Hudson,"3 2nd Street, Jersey City, NJ, 07311",https://www.hudsonandconj.com/,-74.0318355,40.720887,452ebac3-6907-4f5f-867d-41d93e5aa471
618646.935780928,686540.058902189,14,Shopping,Kanibal & Co.,197 Montgomery St,Montgomery,Jersey City,Hudson,"197 Montgomery Street, Jersey City, NJ, 07302",https://www.shopkanibal.com/,-74.04353898,40.71737124,9b9c8bac-fee6-47f3-b0f0-122b384a6737
618366.99769251,687972.965157107,15,Food,Keyhole Bar,242 Bay St,Bay,Jersey City,Hudson,"242 Bay Street, Jersey City, NJ, 07302",https://www.instagram.com/keyholebarjc/,-74.0445255,40.721247,16d618fa-8994-45d7-8de5-abf44477d71e
616833.558502175,690266.750595771,16,Food,Carmine's Pizza Factory,366 8th St,8th,Jersey City,Hudson,"366 8th Street, Jersey City, NJ, 07302",http://carminespizzajc.com/,-74.0500155,40.727565,a8bc24ba-ce95-4f7d-bb48-78abbc3080f0
619836.368441425,687820.551419944,17,Café,Lackawanna Coffee,140 Bay Street,Bay,Jersey City,Hudson,"140 Bay Street, Jersey City, NJ, 07302",http://www.lackawannacoffee.com/,-74.03923757,40.72081761,09d65f01-b8e1-49de-9452-b2282d9bfd58
620089.277712509,687483.785361193,18,Shopping,CoolVines,350 Warren St,Warren,Jersey City,Hudson,"350 Warren Street, Kearny, NJ, 07032",https://powerhouse.coolvines.com/,-74.03837944,40.72011718,8da789cf-e243-4dc5-a9e2-450d35a6dd45
619967.177234925,687248.994164109,19,Café,Lackawanna Coffee,325 Warren St,Warren,Jersey City,Hudson,"325 Warren Street, Jersey City, NJ, 07302",http://www.lackawannacoffee.com/,-74.03887595,40.71938722,0948b115-5048-4e4d-8a27-644d5b023080
621972.61941826,691556.838238694,20,Café,Bwe Kafe,140 River Dr S,River,Jersey City,Hudson,"140 River Street, Jersey City, NJ, 07302",https://www.bwekafe.com/,-74.03167843,40.73114076,c070deb1-63fe-405d-ad03-15e84d687b96
618575.409021094,686990.418237694,21,Café,Lackawanna Coffee,295 Grove Street,Grove,Jersey City,Hudson,"295 Grove Street, Jersey City, NJ, 07302",http://www.lackawannacoffee.com/,-74.043792,40.718547,4265f89d-1dd4-445f-9158-1d8c8ecc12e4
618448.144839928,686756.965948693,22,Food,Luna Restaurant & Bar,279 Grove street,Grove,Jersey City,Hudson,"279 Grove Street, Jersey City, NJ, 07302",www.lunajc.com,-74.0442555,40.717908,cf18faa4-e351-4a52-87d3-21fa21211328
612048.706851427,693705.069506526,23,Café,modcup coffee co. (mod02 - the roastery),25 Senate Place,Senate,Jersey City,Hudson,"25 Senate Place, Jersey City, NJ, 07306",https://modcup.com/,-74.06755211,40.73693295,fbe8fe06-2300-46a0-a9ee-49dd7251badf
618514.969181344,690360.045356691,24,Food,Milk Sugar Love,19 McWilliams Pl,McWilliams,Jersey City,Hudson,"McWilliams Place, Jersey City, NJ, 07302",https://milksugarlove.com/,-74.04398413,40.72777356,1674509d-5957-4ae1-85ce-b4d161fe34a7
620610.475160927,688939.872344024,25,Café,modcup coffee co. (mod04 - espresso bar on wheels),475 Washington Blvd,Washington,Jersey City,Hudson,"475 Washington Boulevard, Jersey City, NJ, 07310",https://modcup.com/,-74.0332695,40.71934641,e25abb06-d55d-4316-8ec0-c5a24990aa7a
618691.551833425,685344.076057941,26,Attraction,om.Life Wellness Spa,18 Park View Ave,Park,Jersey City,Hudson,"18 Park Avenue, Jersey City, NJ, 07302",https://www.om.life/,-74.04329121,40.71385829,f5663ac0-dadc-4423-a5a4-21fc4e45c9ab
619566.247262508,687839.77283819,27,Food,Prato Bakery,150 Bay St,Bay,Jersey City,Hudson,"150 Bay Street, Jersey City, NJ, 07302",https://www.pratobakery.com/,-74.04020116,40.72085566,2429a26d-650b-44b5-8f7e-34ce6e38303c
618578.750221759,687547.825259358,28,Food,Porta,135 Newark Ave,Newark,Jersey City,Hudson,"135 Newark Avenue, Jersey City, NJ, 07302",https://pizzaporta.com/jersey-city,-74.04369089,40.72024361,a1127d01-a8a3-4d4c-98ad-3b9c7c23a465
618809.273382761,686509.558307022,29,Food,Short Grain,183 Montgomery St,Montgomery,Jersey City,Hudson,"183 Montgomery Street, Jersey City, NJ, 07302",http://shortgrainjc.com/,-74.04294858,40.71727647,c6562700-cbcf-4449-96c7-2c96b58aa8c4
618482.866555259,696642.629576273,30,Café,modcup coffee co. (mod01 - the arts café),479 Palisade Ave,Palisade,Jersey City,Hudson,"479 Palisade Avenue, Jersey City, NJ, 07307",https://modcup.com/,-74.043945,40.745043,1ac1740e-0e2c-4083-a981-5059c2713459
616516.449884426,689111.003563441,31,Food,Prato Bakery,371 4th Street,4th,Jersey City,Hudson,"371 4th Street, Jersey City, NJ, 07302",https://www.pratobakery.com/,-74.051181,40.724397,efb8f568-34a9-4c05-80f5-851db4743605
619643.347502008,687900.927571528,32,Shopping,Sloane Square,150 Bay St,Bay,Jersey City,Hudson,"150 Bay Street, Jersey City, NJ, 07302",https://www.sloanesq.net/,-74.04037314,40.72093865,eada982e-804b-47c9-b5c5-0e3044b76dae
618578.941166259,687751.109301604,33,Food,Skinner's Loft and Cove,146 Newark Ave,Newark,Jersey City,Hudson,"146 Newark Avenue, Jersey City, NJ, 07302",https://www.skinnersloft.com/,-74.043765,40.720635,b5412734-2b7b-4374-83de-794c349e6d52
613754.426865175,692085.73481869,34,Food,Whealth Kitchen,615 Pavonia Ave,Pavonia,Jersey City,Hudson,"615 Pavonia Avenue, Jersey City, NJ, 07306",https://www.whealthkitchen.com/,-74.06120155,40.73274964,e01d332c-53af-45b9-a1ba-53b7d015274c
618537.978649758,690485.827257358,35,Shopping,WORD,19 McWilliams Place,McWilliams,Jersey City,Hudson,"McWilliams Place, Jersey City, NJ, 07302",https://www.wordbookstores.com/,-74.04399099,40.72771612,4837e5b2-33f7-479e-bc49-05b0fd1bfd60
621409.801974341,687417.548617028,36,Food,Tidal Poke Co,210 Hudson Street,Hudson,Jersey City,Hudson,"210 Hudson Street, Hoboken, NJ, 07311",http://www.tidalpokejc.com/,-74.03330401,40.71916446,ef5a78d9-5488-4e9e-ab98-320e3e3c051b
621537.089121342,686791.987204105,37,Shopping,Noah's Ark Florist,200 Hudson St,Hudson,Jersey City,Hudson,"200 Hudson Street, Jersey City, NJ, 07311",https://www.noahsarkflorist.com/,-74.03303499,40.71803078,20157568-5444-4ea2-91a3-c7fdf368294f
621399.389593594,687291.780823939,38,Café,modcup coffee co. (mod03 - the food hall coffee bar),210 Hudson Street,Hudson,Jersey City,Hudson,"210 Hudson Street, Jersey City, NJ, 07311",https://modcup.com/,-74.03631772,40.72393379,66eddee2-a606-4a7b-9e08-41e3c8f6c2be
447225.089977011,553294.799146526,39,Attraction,Arts Council of Princeton,102 Witherspoon Street,Witherspoon,Princeton,Mercer,"102 Witherspoon Street, Princeton, NJ, 08542",http://artscouncilofprinceton.org/,-74.66113578,40.35215035,2238ae56-09fa-411e-9930-b3f642cfa941
449971.438815009,557186.73886919,40,Attraction,4 Elements Wellness Center,301 North Harrison Street,Harrison,Princeton,Mercer,"301 North Harrison Street, Princeton, NJ, 08540",https://www.4elementswellnesscenter.com/,-74.6512655,40.36293078,55becb88-9875-4346-818f-30225d06853f
447477.167556841,552541.904326856,41,Food,Arlee's Raw Blends,14 1/2 Witherspoon St,Witherspoon,Princeton,Mercer,"14 1/2 Witherspoon Street, Princeton, NJ, 08542",https://www.arleesrawblends.com/,-74.6600885,40.3504364,e5e551c6-ceaf-4a43-9e90-07f45db1887a
450006.447603259,553315.393265441,42,Food,Blue Point Grill,258 Nassau Street,Nassau,Princeton,Mercer,"258 Nassau Street, Princeton, NJ, 08542",https://www.bluepointgrill.com/,-74.651121,40.352391,19424f69-0364-40bd-a051-a343a3c0cb70
447856.729461759,553117.164987355,43,Attraction,Copper River Salon and Spa,51 North Tulane Street,Tulane,Princeton,Mercer,"51 North Tulane Street, Princeton, NJ, 08542",https://www.copperriversalon.com/,-74.658843,40.351842,6c1c6505-7a8f-4af2-ada3-96ad4685c148
446473.636755511,555257.24371244,44,Shopping,Homestead Princeton,300 Witherspoon Street,Witherspoon,Princeton,Mercer,"300 Witherspoon Street, Princeton, NJ, 08542",https://homesteadprinceton.com/,-74.66382,40.35771,941a39e3-5d98-4736-80bd-4dd0ad28a125
447428.381565176,552734.357682109,45,Food,House of Cupcakes,34 Witherspoon Street,Witherspoon,Princeton,Mercer,"34 Witherspoon Street, Princeton, NJ, 08542",https://houseofcupcakes.com/,-74.6603955,40.350807,7173c224-05d2-4ef6-b681-340e6f3d448f
446725.059809092,552081.410497189,46,Food,Jammin Crepes,20 Nassau Street,Nassau,Princeton,Mercer,"20 Nassau Street, Princeton, NJ, 08542",https://www.jammincrepes.com/,-74.66290723,40.34902301,3be787f0-3749-4da8-a2bb-92f84c63dac7
447275.374981426,552752.019720271,47,Shopping,jaZams,25 Palmer Square East,Palmer,Princeton,Mercer,"25 Palmer Square, Princeton, NJ, 08542",https://jazams.com/,-74.66101301,40.35085179,3f16380d-1c41-4238-a89f-1ef0edd09084
