Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A20001_001,SE_A20001_002,SE_A20001_003,SE_A20001_004,SE_A20001_005
"34001","05000US34001","Atlantic County","Atlantic County, New Jersey","nj","050","00","ACSSF","0000008",,,,,"34","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266009,24669,241340,99265,176372
"34003","05000US34003","Bergen County","Bergen County, New Jersey","nj","050","00","ACSSF","0000009",,,,,"34","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923738,76580,847158,229863,711059
"34005","05000US34005","Burlington County","Burlington County, New Jersey","nj","050","00","ACSSF","0000010",,,,,"34","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432010,19897,412113,124108,352499
"34007","05000US34007","Camden County","Camden County, New Jersey","nj","050","00","ACSSF","0000011",,,,,"34","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501770,37569,464201,177472,347962
"34009","05000US34009","Cape May County","Cape May County, New Jersey","nj","050","00","ACSSF","0000012",,,,,"34","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91656,5510,86146,37142,67212
"34011","05000US34011","Cumberland County","Cumberland County, New Jersey","nj","050","00","ACSSF","0000013",,,,,"34","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141856,14821,127035,62776,82105
"34013","05000US34013","Essex County","Essex County, New Jersey","nj","050","00","ACSSF","0000014",,,,,"34","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781825,96506,685319,271737,477904
"34015","05000US34015","Gloucester County","Gloucester County, New Jersey","nj","050","00","ACSSF","0000015",,,,,"34","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289683,13456,276227,83568,229274
"34017","05000US34017","Hudson County","Hudson County, New Jersey","nj","050","00","ACSSF","0000016",,,,,"34","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664118,93759,570359,217291,394129
"34019","05000US34019","Hunterdon County","Hunterdon County, New Jersey","nj","050","00","ACSSF","0000017",,,,,"34","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121098,3542,117556,28370,105257
"34021","05000US34021","Mercer County","Mercer County, New Jersey","nj","050","00","ACSSF","0000018",,,,,"34","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363331,29869,333462,109769,265741
"34023","05000US34023","Middlesex County","Middlesex County, New Jersey","nj","050","00","ACSSF","0000019",,,,,"34","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817979,61923,756056,209908,627621
"34025","05000US34025","Monmouth County","Monmouth County, New Jersey","nj","050","00","ACSSF","0000020",,,,,"34","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619534,39319,580215,167442,493469
"34027","05000US34027","Morris County","Morris County, New Jersey","nj","050","00","ACSSF","0000021",,,,,"34","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490337,24961,465376,109925,414872
"34029","05000US34029","Ocean County","Ocean County, New Jersey","nj","050","00","ACSSF","0000022",,,,,"34","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586854,39050,547804,241352,413136
"34031","05000US34031","Passaic County","Passaic County, New Jersey","nj","050","00","ACSSF","0000023",,,,,"34","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500479,62230,438249,190642,286064
"34033","05000US34033","Salem County","Salem County, New Jersey","nj","050","00","ACSSF","0000024",,,,,"34","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62167,3958,58209,23491,43885
"34035","05000US34035","Somerset County","Somerset County, New Jersey","nj","050","00","ACSSF","0000025",,,,,"34","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327254,17223,310031,68327,275680
