OBJECTID,ROUTE,REFPT,ENDREFPT,LENGTH_,UPDATEYR,AADT,AADTYR,COUNTYEAR,AADTDERIV,AADTSINGLE,AADTCOMB,OFFPKTRK,YR20FACTOR,DHV,DD,ROUTECAPAC,EDLA,VCRATIO,VCRATIO20,ROADTERRAIN,SEASONALGROUPID,COUNTSTATIONID,CALYR,PCTOFFPKSU,PCTOFFPKCOMB,AADTTRUCKS,RUNLENGTH_FROM,RUNLENGTH_TO,ISRAMP,PCTDHSU,PCTDHCOMB,DHTRK
1,086A,1.854,3.213,1.287,2022,16000,2022,2020,2,400,180,3.59999990463257,1.17999994754791,10,59,2200,0,0.860000014305115,1.00999999046326,2,6,103759,2022,2.5,1.10000002384186,580,0,1.287,,0.589999973773956,0.0599999986588955,0.699999988079071
2,076A,6.803,8.052,1.362,2022,98000,2022,2022,0,5600,7200,13,1.30999994277954,7.5,57,8150,0,1.02999997138977,1.35000002384186,2,5,103384,2022,5.69999980926514,7.30000019073486,12800,6.707,8.069,,0.620000004768372,0.46000000834465,1.10000002384186
3,006J,371.69,376.217,4.51,2022,1500,2022,2020,2,50,120,11.1999998092651,1.30999994277954,11.5,57,3200,0,0.0599999986588955,0.0799999982118607,2,2,100356,2022,3.09999990463257,8.10000038146973,170,0,4.51,,0.330000013113022,1.37000000476837,1.70000004768372
4,096A,52.376,52.785,0.409,2022,10000,2022,2020,2,170,150,3.20000004768372,1.11000001430511,9.5,52,3240,0,0.300000011920929,0.330000013113022,2,6,104007,2022,1.70000004768372,1.5,320,51.623,52.032,,0.280000001192093,0.219999998807907,0.5
5,015A,8.419,10.412,2.009,2022,500,2022,2021,1,30,40,14.8999996185303,1.12000000476837,11.5,57,1800,0,0.0399999991059303,0.0399999991059303,2,2,100681,2022,6.40000009536743,8.5,70,8.408,10.417,,0.28999999165535,1.00999999046326,1.29999995231628
6,287B,113.42,128.32,14.924,2022,4900,2022,2020,2,340,2000,47.5,1.12000000476837,11.5,57,2550,0,0.25,0.280000001192093,1,2,105206,2022,7,40.5,2340,28.219,43.143,,0.870000004768372,2.82999992370605,3.70000004768372
7,115A,44.546,45.582,0.981,2022,39000,2022,2022,0,620,390,2.59999990463257,1.21000003814697,9,53,4400,0,0.850000023841858,1.02999997138977,2,6,104279,2022,1.60000002384186,1,1010,44.192,45.173,,0.219999998807907,0.0599999986588955,0.300000011920929
8,036B,0,0.395,0.428,2022,18000,2022,2020,2,380,230,3.40000009536743,1.16999995708466,15.5,58,3450,0,0.939999997615814,1.10000002384186,3,3,101647,2022,2.09999990463257,1.29999995231628,610,0,0.428,,0.109999999403954,0.0900000035762787,0.200000002980232
9,070B,2.1,2.423,0.258,2022,19000,2022,2018,3,760,550,6.90000009536743,1.16999995708466,9,54,3800,0,0.490000009536743,0.569999992847443,2,6,103111,2022,4,2.90000009536743,1310,2.15,2.408,,0.0500000007450581,0.0299999993294477,0.100000001490116
10,050A,38.504,41.137,2.623,2022,15000,2022,2020,2,300,600,6,1.30999994277954,11.5,57,4950,0,0.400000005960464,0.519999980926514,2,2,102209,2022,2,4,900,6.665,9.288,,0.189999997615814,0.449999988079071,0.600000023841858
11,115A,8.694,8.985,0.324,2022,7200,2022,2021,1,260,100,5,1.05999994277954,11.5,57,1740,0,0.540000021457672,0.569999992847443,2,2,104263,2022,3.59999990463257,1.39999997615814,360,8.596,8.92,,0.280000001192093,0.219999998807907,0.5
12,013C,0.117,0.222,0.103,2022,17000,2022,2020,2,370,560,5.5,1.26999998092651,11.5,57,3250,0,0.689999997615814,0.879999995231628,3,2,100566,2022,2.20000004768372,3.29999995231628,930,0.103,0.206,,0.230000004172325,0.0399999991059303,0.300000011920929
