X,Y,OBJECTID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,ALT_PHONE,TYPE,COUNTY,COUNTYFIPS,ST_FIPS,COUNTRY,REGION,LATITUDE,LONGITUDE,STATE_ID,NAICS_CODE,OWNER,TTL_STAFF,BEDS,TRAUMA
291225.115232162,227635.647972658,1,Bridgeton RiteCare,1000 PEARL STREET,BRIDGETON,NJ,08302,856-451-4700,,FEDERALLY QUALIFIED HEALTH CENTERS,CUMBERLAND,34011,34,US,SOUTH,39.45620074,-75.21153984,,,,,9999999,
284708.320522994,218313.748965569,2,CompleteCare Adult & Women's Medical Professionals,70 COHANSEY ST,BRIDGETON,NJ,08302,,,FEDERALLY QUALIFIED HEALTH CENTERS,CUMBERLAND,34011,34,US,SOUTH,39.43046483,-75.23435015,,,,,9999999,
289278.789072327,217877.173067071,3,CompleteCare Bridgeton - Medical and Dental Health Professionals,105 MANHEIM AVENUE,BRIDGETON,NJ,08302,856-451-4700X2320,,FEDERALLY QUALIFIED HEALTH CENTERS,CUMBERLAND,34011,34,US,SOUTH,39.42936727,-75.21815753,,,,,9999999,
284463.359726828,217356.628832571,4,CompleteCare Health Network,53 SOUTH LAUREL ST,BRIDGETON,NJ,08302,856-451-4700,,FEDERALLY QUALIFIED HEALTH CENTERS,CUMBERLAND,34011,34,US,SOUTH,39.42783166,-75.23518974,,,,,9999999,
281764.521292496,217940.541050576,5,Kids' Corner - Bridgeton Middle School,251 W. BROAD STREET,BRIDGETON,NJ,08302,856-453-1233,,FEDERALLY QUALIFIED HEALTH CENTERS,CUMBERLAND,34011,34,US,SOUTH,39.42937396,-75.2447608,,,,,9999999,
281276.580339245,220351.548367657,6,Teen Center - Bridgeton High School,111 N. WEST AVENUE,BRIDGETON,NJ,08302,856-451-4440,,FEDERALLY QUALIFIED HEALTH CENTERS,CUMBERLAND,34011,34,US,SOUTH,39.43598208,-75.24655881,,,,,9999999,
288639.180771496,220348.761627823,7,Inspira-Bridgeton SED,333 IRVING AVENUE,BRIDGETON,NJ,08302,856-575-4500,,SATELLITE EMERGENCY DEPARTMENTS,CUMBERLAND,34011,34,US,SOUTH,39.43613882,-75.22049172,,,,,9999999,
468199.361348581,416701.865311906,8,Deborah Heart and Lung Center,200 TRENTON ROAD,BROWNS MILLS,NJ,08015,609-893-6611,,NON ACUTE CARE HOSPITALS,BURLINGTON,34005,34,US,SOUTH,39.977428,-74.585381,,,,,9999999,
468390.49318416,415778.487893574,9,Lourdes-Deborah SED,200 TRENTON ROAD,BROWNS MILLS,NJ,08015,,,SATELLITE EMERGENCY DEPARTMENTS,BURLINGTON,34005,34,US,SOUTH,39.97489348,-74.58469581,,,,,9999999,
392419.100507829,451917.84245199,10,Burlington City Center,665 HIGH STREET,BURLINGTON CITY,NJ,08016,609-386-0775,,FEDERALLY QUALIFIED HEALTH CENTERS,BURLINGTON,34005,34,US,SOUTH,40.07359197,-74.85630493,,,,,9999999,
319293.199515831,404236.543785907,11,Cooper Hospital/University Medical Center,ONE COOPER PLAZA,CAMDEN,NJ,08103,856-342-2000,856-342-2400,ACUTE CARE HOSPITALS,CAMDEN,34007,34,US,SOUTH,39.94159853,-75.11643371,,,,,491,Level I
325258.200381078,399202.875375569,12,Our Lady of Lourdes Medical Center,1600 HADDON AVENUE,CAMDEN,NJ,08103,856-757-3500,,ACUTE CARE HOSPITALS,CAMDEN,34007,34,US,SOUTH,39.927891,-75.09504,,,,,410,
319707.022178996,396820.143920571,13,Antioch Manor,1860 VAN BUREN STREET,CAMDEN,NJ,08104,856-964-8028,,FEDERALLY QUALIFIED HEALTH CENTERS,CAMDEN,34007,34,US,SOUTH,39.92124654,-75.11477565,,,,,9999999,
319493.920571078,405123.412418991,14,CAMCare Gateway Health Center,817 FEDERAL STREET,CAMDEN,NJ,08103,856-541-3270,,FEDERALLY QUALIFIED HEALTH CENTERS,CAMDEN,34007,34,US,SOUTH,39.944037,-75.11573967,,,,,9999999,
327092.622565247,405839.339792907,15,CAMcare - East,2610 FEDERAL STREET,CAMDEN,NJ,08105,856-635-0203,,FEDERALLY QUALIFIED HEALTH CENTERS,CAMDEN,34007,34,US,SOUTH,39.94614317,-75.08865495,,,,,9999999,
319302.220167078,408941.560622573,16,CAMcare - North,6TH ST AND ERIE STREETS,CAMDEN,NJ,08102,856-757-9180,,FEDERALLY QUALIFIED HEALTH CENTERS,CAMDEN,34007,34,US,SOUTH,39.95451508,-75.11651748,,,,,9999999,
320256.023049496,400507.461020991,17,CAMcare - South,S 8TH ST AND CARL MILLER BLVD.,CAMDEN,NJ,08103,856-541-4926,,FEDERALLY QUALIFIED HEALTH CENTERS,CAMDEN,34007,34,US,SOUTH,39.9313795,-75.1129085,,,,,9999999,
319749.621503245,396708.243553825,18,CAMcare Odessa Paulk-Jones,813 FERRY AVENUE,CAMDEN,NJ,08105,856-541-3270,,FEDERALLY QUALIFIED HEALTH CENTERS,CAMDEN,34007,34,US,SOUTH,39.92094015,-75.11462102,,,,,9999999,
317789.502063911,403147.092224658,19,Project H.O.P.E Inc at Bergen Lanning Health Center,439 CLINTON ST,CAMDEN,NJ,08103,856-968-2320,,FEDERALLY QUALIFIED HEALTH CENTERS,CAMDEN,34007,34,US,SOUTH,39.93857909,-75.12176952,,,,,9999999,
