Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CD,Geo_CSA,Geo_MSAMSA,SE_T001_001,SE_T001_005,SE_T001_010,SE_T001_004,SE_T001_006,SE_T001_009,SE_T001_003,SE_T001_007,SE_T001_008,SE_T001_002,SE_T002_001,SE_T002_005,SE_T002_010,SE_T002_004,SE_T002_006,SE_T002_009,SE_T002_003,SE_T002_007,SE_T002_008,SE_T002_002,SE_T600_001,SE_T600_002,SE_T600_003,SE_T600_004,SE_T600_005,SE_T600_006,SE_T600_007,SE_T600_008,SE_T600_009,SE_T600_010,SE_T003_001,SE_T003_005,SE_T003_010,SE_T003_004,SE_T003_006,SE_T003_009,SE_T003_003,SE_T003_007,SE_T003_008,SE_T003_002,SE_T800_001,SE_T800_002,SE_T800_003,SE_T800_004,SE_T800_005,SE_T800_006,SE_T800_007,SE_T800_008,SE_T800_009,SE_T800_010,SE_T1200_001,SE_T1200_002,SE_T1200_003,SE_T1200_004,SE_T1200_005,SE_T1200_006,SE_T1200_007,SE_T1200_008,SE_T1200_009,SE_T1200_010,SE_T004_001,SE_T004_005,SE_T004_010,SE_T004_004,SE_T004_006,SE_T004_009,SE_T004_003,SE_T004_007,SE_T004_008,SE_T004_002,SE_T1000_001,SE_T1000_002,SE_T1000_003,SE_T1000_004,SE_T1000_005,SE_T1000_006,SE_T1000_007,SE_T1000_008,SE_T1000_009,SE_T1000_010
"34001","Atlantic County","Atlantic County, New Jersey","00","34","001",,,,110453,,,,,,,,,,6187,3191,1202,856,599,204,105,15,3,12,,,,,,,,,,,4638036,0,0,0,0,0,0,0,0,0,,,,,,,,,,,41991.0369116276,,,,,,,,,,1096199,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"34003","Bergen County","Bergen County, New Jersey","00","34","003",,,,446836,,,,,,,,,,31826,18980,5378,3437,2506,832,516,119,31,27,,,,,,,,,,,28807283,0,0,0,0,0,0,0,0,0,,,,,,,,,,,64469.4764969698,,,,,,,,,,7237760,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"34005","Burlington County","Burlington County, New Jersey","00","34","005",,,,189086,,,,,,,,,,10501,5387,1874,1438,1089,398,229,51,23,12,,,,,,,,,,,10598649,0,0,0,0,0,0,0,0,0,,,,,,,,,,,56052.0027923802,,,,,,,,,,2650165,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"34007","Camden County","Camden County, New Jersey","00","34","007",,,,187058,,,,,,,,,,11356,5728,2211,1593,1153,388,213,41,22,7,,,,,,,,,,,9743818,0,0,0,0,0,0,0,0,0,,,,,,,,,,,52089.8224080232,,,,,,,,,,2348125,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"34009","Cape May County","Cape May County, New Jersey","00","34","009",,,,27578,,,,,,,,,,3807,2513,626,372,216,53,23,3,,,,,,,,,,,,,1218405,0,0,0,0,0,0,0,,,,,,,,,,,,,44180.3248966568,,,,,,,,,,234440,0,0,0,0,0,0,0,,,,,,,,,,,,
"34011","Cumberland County","Cumberland County, New Jersey","00","34","011",,,,47003,,,,,,,,,,2835,1390,575,429,260,98,67,9,6,,,,,,,,,,,,1930231,0,0,0,0,0,0,0,0,,,,,,,,,,,,41066.1234389294,,,,,,,,,,458694,0,0,0,0,0,0,0,0,,,,,,,,,,,
"34013","Essex County","Essex County, New Jersey","00","34","013",,,,298755,,,,,,,,,,18913,11120,3206,2103,1548,492,307,86,31,20,,,,,,,,,,,19320156,0,0,0,0,0,0,0,0,0,,,,,,,,,,,64668.8959180599,,,,,,,,,,5287041,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"34015","Gloucester County","Gloucester County, New Jersey","00","34","015",,,,97974,,,,,,,,,,6127,3043,1142,926,621,243,105,37,8,,,,,,,,,,,,4358854,0,0,0,0,0,0,0,0,,,,,,,,,,,,44489.9054851287,,,,,,,,,,1049695,0,0,0,0,0,0,0,0,,,,,,,,,,,
"34017","Hudson County","Hudson County, New Jersey","00","34","017",,,,243114,,,,,,,,,,13858,8253,2227,1500,1098,400,239,84,34,23,,,,,,,,,,,18655039,0,0,0,0,0,0,0,0,0,,,,,,,,,,,76733.7092886465,,,,,,,,,,5370047,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"34019","Hunterdon County","Hunterdon County, New Jersey","00","34","019",,,,46480,,,,,,,,,,3726,2164,697,441,290,82,36,8,5,3,,,,,,,,,,,2917042,0,0,0,0,0,0,0,0,0,,,,,,,,,,,62759.0791738382,,,,,,,,,,775650,0,0,0,0,0,0,0,0,0,,,,,,,,,,
