Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T011_001,SE_T011_002,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_004,SE_T016_005,SE_T016_006,SE_T016_007,SE_T016_008,SE_T016_009
"34001","Atlantic County","Atlantic County, New Jersey","00","34","001",15.6441948,17.004453804,9.4,"Yes",25.077904734,22.461507798,3.1409210071,1.0139981204,77.207849419,124850,27.2
"34003","Bergen County","Bergen County, New Jersey","00","34","003",11.410986988,17.602577621,9.9,"Yes",21.360548254,19.576663858,2.2057732815,0.6066989053,68.713652787,464960,40.9
"34005","Burlington County","Burlington County, New Jersey","00","34","005",12.445638161,18.804290632,11.4,"Yes",15.586940015,14.257782666,1.4244495065,0.3614274867,82.981375403,222233,41.9
"34007","Camden County","Camden County, New Jersey","00","34","007",16.134609166,18.127661403,11.6,"No",20.28052983,18.569557387,1.9868619427,0.888434202,76.538290184,242412,39.5
"34009","Cape May County","Cape May County, New Jersey","00","34","009",15.756107441,18.130743026,9,"No",20.399251404,18.897142138,1.2351840299,1.0106051154,80.351510774,41535,23.9
"34011","Cumberland County","Cumberland County, New Jersey","00","34","011",18.261146678,17.0802449,9.9,"Yes",23.472003155,20.423375075,3.8939274448,0.5126182965,80.834305718,61704,30.9
"34013","Essex County","Essex County, New Jersey","00","34","013",14.235389268,16.211950774,9.9,"Yes",28.669314441,25.160504156,4.2310719908,1.2469586375,61.009647953,366088,44.6
"34015","Gloucester County","Gloucester County, New Jersey","00","34","015",15.611318452,20.87454257,10.9,"Yes",15.82187858,14.609608164,1.0309278351,0.9593356243,85.100839058,144686,48.5
"34017","Hudson County","Hudson County, New Jersey","00","34","017",15.382038155,19.248901636,9.9,"No",28.518643596,22.896959631,6.9806710503,1.5077772701,37.196511786,345277,51.8
"34019","Hunterdon County","Hunterdon County, New Jersey","00","34","019",12.529551418,21.699132792,10.2,"Yes",14.381591563,13.729486217,0.7244060935,0.4687333546,80.121105396,64737,53.7
"34021","Mercer County","Mercer County, New Jersey","00","34","021",13.55615998,18.993349456,8.8,"Yes",18.504572351,16.529794107,2.1747483286,0.6877737647,71.2376117,176477,31.7
"34023","Middlesex County","Middlesex County, New Jersey","00","34","023",10.970467888,16.197022638,9.7,"Yes",20.569754307,17.126756545,4.1743151652,0.6230584581,72.574482419,397812,45.5
"34025","Monmouth County","Monmouth County, New Jersey","00","34","025",13.360452416,20.798187186,9.9,"Yes",19.56671104,18.194227769,1.5115729806,0.8352299566,75.514746261,309570,43.2
"34027","Morris County","Morris County, New Jersey","00","34","027",12.111935176,18.681853114,10,"Yes",15.748184828,14.150943396,1.3825910368,0.7872701477,79.528799077,256536,43.9
"34029","Ocean County","Ocean County, New Jersey","00","34","029",14.443273724,18.506524639,7.8,"Yes",20.028300615,18.319102552,2.3179551682,0.7367144333,82.505605381,249760,43
"34031","Passaic County","Passaic County, New Jersey","00","34","031",13.782069143,17.803785442,9.7,"Yes",30.547559352,25.407630204,7.5680193147,0.7831120191,71.456343793,234560,38.8
"34033","Salem County","Salem County, New Jersey","00","34","033",17.793654646,18.07861601,10.9,"Yes",17.522160379,16.032405484,1.1956297671,1.1131725417,84.162081733,28899,36.5
"34035","Somerset County","Somerset County, New Jersey","00","34","035",10.843821151,15.969094135,9.9,"No",16.238031858,14.79818692,1.3782147611,0.7599501954,78.275641139,170127,46
"34037","Sussex County","Sussex County, New Jersey","00","34","037",13.757305722,21.589639657,9.1,"Yes",15.917986952,14.868913858,0.7735321528,0.6337371855,83.76183115,73746,57.7
"34039","Union County","Union County, New Jersey","00","34","039",13.07573586,18.005378453,10.4,"No",25.563165498,21.341661259,4.9066295682,1.1316817379,68.317135999,273296,42.5
"34041","Warren County","Warren County, New Jersey","00","34","041",14.330127644,19.426878991,10,"No",15.522856109,13.915896937,1.4352912797,0.747798818,81.332516294,53853,56.1
